City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,guerrero negro,27.9769,-114.0611,24.3,60,0,7.12,MX,1723164661
290,columbia falls,48.3725,-114.1815,23.08,39,99,3.27,US,1723164662
291,afaahiti,-17.75,-149.2833,26.93,88,51,6.59,PF,1723164663
292,chibougamau,49.9168,-74.3659,18.79,63,100,2.57,CA,1723164664
293,kedrovyy,56.1667,91.8167,17.23,95,79,1.65,RU,1723164666
294,bloomington,44.8408,-93.2983,18.51,66,75,7.72,US,1723164667
295,coahuayana de hidalgo,18.7,-103.6583,28.7,83,64,1.19,MX,1723164668
296,ormond-by-the-sea,29.3491,-81.0665,28.05,81,75,2.06,US,1723164669
297,monrovia,6.3005,-10.7969,24.87,83,100,4.98,LR,1723164670
298,huarmey,-10.0681,-78.1522,17.02,84,100,4.55,PE,1723164671
299,kupang,-10.1667,123.5833,30.32,62,20,4.12,ID,1723164673
300,dengzhou,37.8086,120.7508,27.15,78,100,2.83,CN,1723164674
301,barra de santo antonio,-9.4047,-35.5072,22.6,73,100,3.3,BR,1723164675
302,pankrushikha,53.8319,80.3406,14.56,91,100,2.43,RU,1723164676
303,sogndal,61.2283,7.1003,12.21,93,75,0.0,NO,1723164678
304,northam,51.0333,-4.2167,18.55,98,100,8.63,GB,1723164680
305,fort st. john,56.2499,-120.8529,24.94,38,20,6.17,CA,1723164681
306,cabedelo,-6.9811,-34.8339,23.37,84,17,5.72,BR,1723164682
307,polyarnyy,69.1989,33.4478,11.47,63,10,5.33,RU,1723164683
308,labuan,5.2767,115.2417,28.2,89,20,0.51,MY,1723164684
309,abdurahmoni jomi,37.9464,68.8088,22.16,64,0,1.0,TJ,1723164685
310,leeton,-34.5667,146.4,17.27,50,90,1.06,AU,1723164687
311,vila velha,-20.3297,-40.2925,23.3,79,40,5.14,BR,1723164688
312,bouca,6.5105,18.2733,21.55,95,100,1.23,CF,1723164689
313,lima,-12.0432,-77.0282,15.5,82,100,3.6,PE,1723164422
314,tofol,5.3248,163.0078,28.4,75,19,4.18,FM,1723164691
315,liperi,62.5333,29.3667,11.26,82,0,1.54,FI,1723164692
316,yei,4.095,30.6779,18.27,95,5,0.78,SS,1723164694
317,atherton,53.5237,-2.4935,18.45,94,100,1.34,GB,1723164695
318,mahibadhoo,3.7833,72.9667,27.68,76,100,3.07,MV,1723164696
319,south boston,42.3334,-71.0495,18.56,91,100,4.12,US,1723164697
320,taoudenni,22.6783,-3.9836,39.15,20,100,2.81,ML,1723164698
321,pasuquin,18.3328,120.6177,27.97,89,75,5.66,PH,1723164700
322,jertih,5.7336,102.4897,26.88,89,69,1.61,MY,1723164701
323,margate,51.3813,1.3862,19.39,84,100,1.34,GB,1723164702
324,prince rupert,54.3161,-130.3201,18.83,87,0,6.17,CA,1723164603
325,sinabang,2.4803,96.3801,25.65,86,100,1.44,ID,1723164704
326,pauini,-7.7136,-66.9764,28.13,51,95,0.79,BR,1723164705
327,coquimbo,-29.9533,-71.3436,12.85,59,0,3.09,CL,1723164707
328,tazacorte,28.629,-17.9293,22.54,91,0,6.69,ES,1723164708
329,flying fish cove,-10.4217,105.6791,25.82,83,100,7.2,CX,1723164709
330,carnarvon,-24.8667,113.6333,18.76,46,0,5.8,AU,1723164713
331,santa isabel,-23.3156,-46.2214,23.84,43,82,1.3,BR,1723164714
332,arkalyk,50.2486,66.9114,20.16,76,89,4.25,KZ,1723164715
333,kerikeri,-35.2268,173.9474,16.06,75,72,1.34,NZ,1723164716
